"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. . "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. apnea monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays apnea specific levels.  us fda regulates apnea monitors under 21 cfr 868.2375 and under fda product code bzq.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. arterial blood gas monitor accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with arterial blood gas monitors.  most nations, for tariff and trade purposes, schedule these products under hs 902110.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. end tidal carbon dioxide monitor supplies. in this classification, this commodity indicates a product used as the consumable supplies used in a conjunction with a end tidal carbon dioxide monitor  in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 902110.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. respiratory monitoring kit accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with respiratory monitoring kits.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"respiratory monitoring products. in this classification, this class includes, products, components, accessories, and supplies, utilized in respiratory monitoring based medical procedures.. waveform capnography time and volumetric monitor. in this classification, this commodity indicates a product that is a customized computer monitor that displays apheresis concentration specific levels.  most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. . "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometers . in this classification, this commodity indicates a product used as an instrument for measuring the air capacity of the lungs in a medical setting.  us fda regulates spirometers under 21 cfr 868.1840 and under fda product code bwf.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. bedside pulmonary function screeners. in this classification, this commodity indicates a product used as a bedside function screener in association with a pulmonary procedure in a medical setting.  us fda regulates bedside pulmonary function screeners under 21 cfr 868.1880 and under fda product code bty.  most nations, for tariff and trade purposes, schedule these products under hs 902000.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. peak flowmeters. in this classification, this commodity indicates a product used as a calibrated instrument used to measure lung capacity in monitoring breathing disorders such as asthma  in a medical setting.  us fda regulates peak flowmeters under 21 cfr 868.1860 and under fda product code bzh.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. pulmonary function calculators. in this classification, this commodity indicates a product used as a function calculator in association with a pulmonary procedure in a medical setting.  us fda regulates pulmonary function calculators under 21 cfr 868.1880 and under fda product code bty.  most nations, for tariff and trade purposes, schedule these products under hs 902000.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. pulmonary calibration devices. in this classification, this commodity indicates a product used as a calibration device in association with a pulmonary procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. pulmonary functioning tubing. in this classification, this commodity indicates a product used as a functioning tubing in association with a pulmonary procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. pulmonary stress test products. in this classification, this commodity indicates a product used as a stress test product in association with a pulmonary procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. sleep study monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays arterial blood gas specific levels.  us fda regulates sleep study monitors under 21 cfr 868.2375 and under fda product code mnr.  most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. transcutaneous monitors or related products. in this classification, this commodity indicates a product that is a customized computer monitor that displays transcutaneous specific levels.  us fda regulates transcutaneous monitors or related products under 21 cfr 868.25 and under fda product code klk.  most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. pulmonary ventilation monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays pulmonary ventilation specific levels.  most nations, for tariff and trade purposes, schedule these products under hs 852849.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. pulmonary gas analyzers or monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays pulmonary ventilation specific levels.  us fda regulates pulmonary gas analyzers or monitors under 21 cfr 868.1075 and under fda product code bse.  most nations, for tariff and trade purposes, schedule these products under hs 901819.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. pulmonary pressure monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays pulmonary pressure specific levels.  most nations, for tariff and trade purposes, schedule these products under hs 901819.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. respiratory temperature monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays respiratory temperature specific levels.  most nations, for tariff and trade purposes, schedule these products under hs 901819.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. pneumotachometers. in this classification, this commodity indicates a product used as a transducer for measuring exhaled air flow of a patient  in a medical setting.  us fda regulates pneumotachometers under 21 cfr 868.2550 and under fda product code jax.  most nations, for tariff and trade purposes, schedule these products under hs 901819.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. pulmonary function monitor filters. in this classification, this commodity indicates a product used as a function monitor filter in association with a pulmonary procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. chest percussors. in this classification, this commodity indicates a product used as a device used to strike a chest rhythmically in a therapeutic procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometer recording pens. in this classification, this commodity indicates a product used as a recording pens in conjunction with a spirometer in a medical setting.  us fda regulates spirometer recording pens under 21 cfr 868.1880 and under fda product code bty.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. inspiratory muscle trainers. in this classification, this commodity indicates a product used as a device that can be used to specifically warm-up inspiratory muscles prior to exercise in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. lung water monitors. in this classification, this commodity indicates a product that is a customized computer monitor that displays lung water specific levels.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. positive expiratory pressure pep therapy devices. in this classification, this commodity indicates a product used as to improve exhalation by requiring extra pressure to exhale in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. airway clearance vests. in this classification, this commodity indicates a product used as a vest to maintain clearances in an airway management procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. blow bottles. in this classification, this commodity indicates a product used as a therapeutic breathing device that is bottle shaped in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 701090.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gaseous-phase argon gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes argon gas in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 903020.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gaseous-phase carbon-dioxide gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes carbon-dioxide gas in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gas flow transducers. in this classification, this commodity indicates a product used as a device to measure air and liquid flow velocity in a medicals setting most nations, for tariff and trade purposes, schedule these products under hs 903020.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gaseous-phase carbon-monoxide gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes carbon-monoxide gas in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 903020.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gaseous-phase helium gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes helium gas in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 903020.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gaseous-phase neon gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes neon gas in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 903020.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gaseous-phase nitrogen gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes nitrogen gas in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 903020.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gaseous-phase oxygen gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes oxygen gas in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 903020.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. nitric oxide analyzers. in this classification, this commodity indicates a product used as a device that analyzes nitric oxide in association with various procedures  in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 903020.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. nitrogen dioxide analyzers. in this classification, this commodity indicates a product used as a device that analyzes nitrogen dioxide in association with various procedures  in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 903020.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometer mouthpiece adapters. in this classification, this commodity indicates a product used as a mouthpiece adapter in conjunction with a spirometer in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gaseous-phase hydrogen gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes hydrogen gas in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 903020.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometer electronic alarms. in this classification, this commodity indicates a product used as an electronic alarm in conjunction with a spirometer in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901890.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometer flowhead sealing ring kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies that enable spirometer flowhead sealing ring use in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 902610.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometer marking stylus. in this classification, this commodity indicates a product used as a marking stylus in conjunction with a spirometer in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901720.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometer bulbs. in this classification, this commodity indicates a product used as a bulb in conjunction with a spirometer in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometer mouthpieces. in this classification, this commodity indicates a product used as a mouthpiece in conjunction with a spirometer in a medical setting.  us fda regulates spirometer mouthpieces under 21 cfr 868.1840 and under fda product code bwf.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometer nose clip refill sponges. in this classification, this commodity indicates a product used as a nose clip refill sponge in conjunction with a spirometer in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 300590.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometer recording papers. in this classification, this commodity indicates a product used as a recording paper in conjunction with a spirometer in a medical setting.  us fda regulates spirometer recording papers under 21 cfr 868.1840 and under fda product code bwf.  most nations, for tariff and trade purposes, schedule these products under hs 480220.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometry peak flow meters. in this classification, this commodity indicates a product used as a device  to assess how well your lungs work by measuring how much air you inhale, how much you exhale and how quickly you exhale. in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gaseous-phase argon glossopharyngeal gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes argon glossopharyngeal gas in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. spirometer accessories or supplies. in this classification, this commodity indicates a product that is either an accessory or consumable associated with spirometer or supplies.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. sleep study monitor accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with sleep study monitors.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. gaseous-phase water vapor gas analyzers. in this classification, this commodity indicates a product used as a device that analyzes water vapor gas in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"pulmonary function testing and treatment products. in this classification, this class includes, products, components, accessories, and supplies, utilized in pulmonary function testing and treatment based medical procedures.. pulmonary functioning tubing accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with pulmonary functioning tubings.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. . "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. medical gas cylinders or related devices. in this classification, this commodity indicates a product that is used as a medically related gas cylinder or related devices most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen concentrators. in this classification, this commodity indicates a product used as a device which concentrates the oxygen from a gas supply (typically ambient air) to supply an oxygen enriched gas stream in a medical setting.  us fda regulates oxygen concentrators under 21 cfr 868.5440 and under fda product code caw.  most nations, for tariff and trade purposes, schedule these products under hs 901920.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen air blenders. in this classification, this commodity indicates a product used as a device which blends oxygen with other gases from a gas supply to supply an oxygen enriched gas stream in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen timers. in this classification, this commodity indicates a product used as a timer used in association with oxygen concentration and blending procedures in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen delivery connectors or adapters. in this classification, this commodity indicates a product used as a connector or adapter associated with an oxygen or blended gas delivery system in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. respiratory therapy compressors. in this classification, this commodity indicates a product used as a compressor n a respiratory therapy procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. flow sensors or regulators or components. in this classification, this commodity indicates a product used as a  device or their components used for sensing or regulating the rate of fluid flow  in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. medical oxygen masks or parts. in this classification, this commodity indicates a product that is used as a medically related oxygen masks or their partsus fda regulates medical oxygen masks or parts under 21 cfr 868.5580 and under fda product code byg.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. medical nasal cannulas. in this classification, this commodity indicates a product that is a hollow needle commonly used with a syringe to inject or extract substances or fluids associated with a medical nasal procedure.  most nations, for tariff and trade purposes, schedule these products under hs 901831.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. medical nasal oxygen catheters or catheterization kits. in this classification, this commodity indicates a product that is a prepackaged collection (either custom or standard) of the equipment and supplies used to deliver oxygen by  nasal catherization in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. medical head hoods. in this classification, this commodity indicates a product that is used as a medically related head hood most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. medical aerosol tents. in this classification, this commodity indicates a product that is used as a medically related aerosol tentus fda regulates medical aerosol tents under 21 cfr 868.5710 and under fda product code fnc.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. medical hyperbaric chambers. in this classification, this commodity indicates a product that is used as a medically related hyperbaric chamberus fda regulates medical hyperbaric chambers under 21 cfr 868.5470 and under fda product code cbf.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. medical incubators. in this classification, this commodity indicates a product that is used as a medically related incubator most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. medical oxygen tubing or connectors. in this classification, this commodity indicates a product that is used as a medically related oxygen tubing or connector most nations, for tariff and trade purposes, schedule these products under hs 901839.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. cases for nasal insufflators. in this classification, this commodity indicates a product used as a case to protect the applicator of fluids involved in a nasal insufflation procedure in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. inhalators or sets. in this classification, this commodity indicates a product or set of products used as an inhalator in a medical setting most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen therapy delivery system products. in this classification, this commodity indicates a product used as a  consumable or accessory associated with an oxygen therapy delivery system in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen insufflators. in this classification, this commodity indicates a product used as an instrument for oxygen insufflation in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. liquid oxygen converters. in this classification, this commodity indicates a product used as a device that converts liquid oxygen to gaseous oxygen for delivery to a patient in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen concentrator filters. in this classification, this commodity indicates a product used as a filter for concentrated oxygen from a gas supply (typically ambient air) to supply an oxygen enriched gas stream in a medical setting.  us fda regulates oxygen concentrator filters under 21 cfr 868.5440 and under fda product code caw.  most nations, for tariff and trade purposes, schedule these products under hs 902000.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen uptake computers. in this classification, this commodity indicates a product used as a in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen tents. in this classification, this commodity indicates a product used as a tent like enclosure within which the air supply can be enriched with oxygen to aid a patients breathing in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. portable oxygen generators. in this classification, this commodity indicates a product used as a device that generates enriched oxygen for use in patient oxygen concentrator and delivery systems in a medical setting.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
"oxygen therapy delivery systems and devices. in this classification, this class includes, systems, components, accessories, and supplies, utilized in oxygen therapy delivery based medical procedures.. oxygen insufflator accessories. in this classification, this commodity indicates a product that is either an accessory or consumable associated with oxygen insufflators.  most nations, for tariff and trade purposes, schedule these products under hs 901811.. "
